ID,Название,Компания,Местоположение,Зарплата,Описание,Дата публикации
85,Backend-разработчик/инженер-программист,СИГНАЛТЕК,Москва,,Разработка бэкенда системы управления базовыми станциями (NMS). Разработка агента управления базовой станции.,2025-06-23
86,Backend-разработчик (Python/Django),Crowe TAC,Ташкент,15000000,"Участие в разработке web-приложений, CRM-систем и внутренних инструментов автоматизации. Основной стек — Python + Django + DRF + PostgreSQL. ",2025-06-23
87,Python Developer,the_covert,Москва,,Разработка крупномасштабных распределенных систем в составе команды разработчиков. Поддержка и улучшение существующих проектов путем внедрения новых функций и компонентов. ,2025-06-24
88,Python-разработчик,Бэнкс Софт Системс,Москва,,Разработка и оптимизация масштабируемых пайплайнов обработки данных с использованием PySpark и Python для подготовки данных и обучения моделей. ,2025-06-26
89,Аналитик данных,Lamoda,Москва,,Поддержка и развитие процессов на Python (в т.ч. оптимизация/внедрение ML-алгоритмов). Проработка текущих адхок запросов на предмет их...,2025-06-24
90,QA-Engineer Middle / Тестировщик ПО,Роллерсофт,Воронеж,100000,Участие в развитии процессов качества и автоматизации. - Изучение бизнес-логики продукта и тестирование на соответствие требованиям. - Разработка тестовой документации (чек...,2025-06-23
91,Ведущий специалист (направление аналитика данных),ГКУ ЦФО ДОНМ,Москва,175000,"визуализация информации по показателям статистической и иной отчетности, создание и работа с дашбордами. -сбор, обработка и анализ данных подведомственных организаций...",2025-06-19
92,Стажер-разработчик Python,IBS,Ульяновск,,"Разработка и оптимизация пайплайнов для работы с ИИ (LangGraph, LangChain, RAG-системы, агенты и workflow). Разработка веб-сервисов (Docker, FastAPI...",2025-06-24
93,Engineering Manager,Remokate,Москва,450000,"Руководить командой разработки из ~17 человек (Data Engineers, Data Scientists, фронтенды, дизайнер, продакт-лид, архитектор). Обеспечивать достижение бизнес-целей кластера...",2025-06-26
94,Python-разработчик (удаленно),Ботхаб,Новосибирск,80000,Разработка и поддержка серверной части веб-приложений на Python. Использование асинхронного подхода в разработке (async/await). Проектирование и реализация API...,2025-06-23
95,Junior+ Python/Go разработчик,Виста,Санкт-Петербург,70000,"Написание и поддержка интеграций (Python2, MySQL, SOAP/REST). Поддержка и развитие существующих клиент-серверных продуктов (Python 3 + FastApi...",2025-06-23
96,Инженер по тестированию manual,Bercut,Санкт-Петербург,,"Тестирование API высоконагруженный серверных приложений. Взаимодействие с разработчиками и аналитиками. Работа с техническими документами, составлять тест-планы, тест-кейсы, чек...",2025-06-25
97,Инженер по тестированию бэкенда в сервис Транспорта,2ГИС,Санкт-Петербург,,Писать понятные тест-кейсы и чек-листы. Писать автотесты на Python (до 20% времени). Работать вместе с командой автоматизации над...,2025-06-16
98,Младший разработчик Python в Отдел разработки и ИИ,AC-GROUP,Москва,75000,"Проявлять инициативу, предлагать улучшения, активно участвовать в развитии команды. Язык разработки: Python (основной язык, плюс возможность изучать другие). ",2025-06-17
99,Manual QA,Plastilin,Москва,80000,"Ручное тестирование веб-приложения и мобильного клиента (React Native). Регрессионное тестирование фронта, бэка и баз данных. Составление и обновление тест...",2025-06-24
100,Системный администратор,Джон Крейн - Искра,Пермь,80000,"Администрирование ОС: 1. Windows Server - развертывание ролей, групповые политики, DNS, DHCP. 2. Linux (CentOS, Ubuntu и т.д.) - установка, базовое...",2025-06-23
101,Системный администратор в IT компанию,Вайпоинг,Астана,300000,Nurkassa - Онлайн касса и QR POS Терминал. ProSklad - Сервис по автоматизации торговли. Protorg - Оборудование для бизнеса. Обслуживание и учёт IT...,2025-06-25
102,Supply Chain Manager / Менеджер по логистике,Procter & Gamble,Москва,170000,"Постоянное совершенствование и синхронизация сложных цепочек поставок на основе анализа данных о запасах, уровне обслуживания, рыночных тенденциях и продажах. ",2025-06-21
103,Тестировщик,Цифролаб,Москва,,"Тестировать API, backend, frontend, требования UX|UI ПО. Анализировать данные веб-трафика (логи). Подготавливать тестовые данные. Настраивать тестовое окружение. ",2025-06-11
104,Python-разработчик,Рубикон,Симферополь,150000,Участие в разработки новых проектов. Поддержание работоспособности текущего кода. (Исправление возможных багов и ошибок).,2025-06-22
