ID,Название,Компания,Местоположение,Зарплата,Описание,Дата публикации
234,Ведущий специалист-эксперт в отдел эксплуатации и сопровождения информационных подсистем,Социальный фонд России,Уфа,35000 - 37000 rub,"Обязанности:
• сопровождение и поддержка пользователей 1C;
• знание 1C, SQL, VBA
• написание и оптимизация SQL-запросов, работа с базами данных;
• разработка скриптов и макросов на VBA для автоматизации задач в Excel и других офисных приложениях;
• обучение и консультирование пользователей;
• консультирование пользователей, техническая поддержка, поиск, анализ ошибок;
• устранение ошибок и сбое в работе систем.
Требования:
• высшее профессиональное образование на направлениям ""Информатика"", ""Информационные технологии"", ""Прикладная математика и информатика"";
• опыт программирования в VBA для автоматизации задач в Ecxel и других офисных приложениях;
• знание языка SQL (написание запросов, оптимизация, работа с СУБД;
• понимание основ программирования и алгоритмов;
• навыки анализа и решения проблем;
• ответственность, внимательность, умение работать в команде и желание обучаться.
• опыт работы с другими системами автоматизации (Python, PowerShell и т.д.)
Условия:
• Работа в стабильной организации
• Оформление в соответствии с ТК РФ;
• Стабильный доход и выплаты дважды в месяц;
• Стабильные выплаты, премии и надбавки;
• Работа в современном офисе в центре города;
• Дружный коллектив;
• Возможность работать на благо общества;
• Возможность улучшать качество услуг в социальной сфере;
• Непрерывное обучение на всех этапах работы;
• Перспективы карьерного роста;
• Возможность решать интересные и значимые задачи.",2025-06-26
235,Performance Engineer / Инженер / Старший инженер по нагрузочному тестированию,ИТ-Холдинг Т1,Самара,Зарплата не указана,"О компании и команде
ИТ-Холдинг Т1 — один из лидеров российского ИТ-рынка, партнёр ключевых производителей и разработчиков в сфере ИТ. По версии аналитических агентств CNews Analytics, TAdviser и RAEX, мы входим в топ-3 крупнейших российских ИТ-компаний. В нашем портфеле уже 70+ востребованных на рынке ИТ‑продуктов и услуг, ключевые – внесены в ЕРРП (реестр российского ПО).
В Т1 стабильность и финансовая надежность, а также социальные гарантии гармонично сочетаются с преимуществами ИТ‑компании — открытостью, инновациями и гибридным форматом работы.
Мы стремительно растём, масштабируемся и ищем новых специалистов в команду!
Нам нужен Инженер/Старший инженер по нагрузочному тестированию
Чем предстоит заниматься:
• Разработка методики нагрузочного тестирования (проработка подхода к НТ, анализ работы в промышленной системе, формирование профиля нагрузки с учетом текущей и планируемой нагрузки, сравнение стендов, проработка ограничений тестирования)
• разработка и актуализация средств НТ (скрипты, сценарии, эмуляторы смежных систем, скрипты генерации и анализа данных)
• подготовка пулов данных для проведения НТ
• проведение НТ
• подготовка протоколов/отчетов по результатам НТ
Что для нас важно:
• Высшее техническое образование
• Опыт работы в области нагрузочного тестирования от 6 месяцев
• Знание общего регламента проведения НТ, опыт проведения полного цикла НТ (разработка методики, скриптов, эмуляторов, генерация тестовых данных, проведение тестирования, анализ результатов, написание отчета)
• Уверенное владение одним из инструментов НТ - JMeter, HP Load Runner, Gatling, K6 (разработка WEB/HTTP/Java/мультпротокольных скриптов, умение проводить корреляции, настраивать межскриптовое взаимодействие; подготовка сценариев, запуск тестов, анализ результатов)
• Опыт диагностики и разбора проблем производительности по результатам НТ (БД, приложение)
• Опыт программирования на Java, C#, C++, Python (один из) не менее 1 года
• Опыт разработки эмуляторов внешних систем
• Знание основ реляционных баз данных, языка SQL (выборки, соединение, вложенные запросы, группировка, сортировка), наличие практического опыта (Oracle)
Условия работы:
• принять участие в создании перспективных и масштабных продуктов/проектов, нацеленных на улучшение ____, использовать лучшие современные практики и технологии;
• гибкий формат работы — в офисе, удаленно или в гибридном формате;
• программа добровольного медицинского страхования;
• широкие возможности внутреннего и внешнего обучения, корпоративные онлайн библиотеки;
• сервис привилегий от 100+ партнёров на покупку техники, занятия спортом и иностранными языками, концерты, отели, SPA и др. А также развитая программа компенсации и маркетплейс мерча с собственной корпоративной валютой.
• необходимая техника и софт для работы;
• конкурентная зарплата по итогам интервью и оформление по ТК.
Мы быстро назначаем и проводим собеседования: интервью с HR -> техническое интервью -> оффер.
Будем рады видеть вас частью нашей большой команды.",2025-06-26
236,Маркетинговый аналитик-стажер,ООО «В Контакте»,Москва,Зарплата не указана,"В рамках стажировки тебе предстоит:
• Сбор выгрузок для маркетинговой команды.
• Построение аналитики.
• Работа с дашбордами.
Необходимые навыки:
• Умение писать базовые SQL-запросы.
• Понимание логики запросов и того, что влияет на их производительность.
• Знание Python на уровне базового анализа данных.
Мы предлагаем:
• Команда: ведущие эксперты индустрии, готовые делиться своим опытом.
• Проекты и задачи: мы реализуем более 200 технологических продуктов, которыми пользуется свыше 95% аудитории рунета.
• Оборудование: у нас есть специализированные гаджеты и дополнительные мониторы для комфортной работы.
• Профессиональное развитие: проводим митапы, конференции, семинары и тренинги для сотрудников.
• Здоровье и спорт: в офисе есть фреш-бар с овощами и фруктами, спортивный зал с тренажёрами.
• Командный досуг: вместе проходим мастер-классы и тимбилдинги на свежем воздухе, смотрим кино и, конечно, танцуем на VK Fest.
• Офис в пяти минутах от метро, крытый паркинг, велопарковка, а летом ― прокат велосипедов, лонгбордов и самокатов.",2025-06-26
237,Аналитик информационной безопасности,VK: Старт карьеры,Москва,Зарплата не указана,"В рамках стажировки тебе предстоит:

• Моделирование угроз, формирование требований и рекомендаций по устранению уязвимостей информационной безопасности — приоритетно в направлении Application Security.
• Проведение аудита безопасности сервисов.
• Проведение аудита кода в части недостатков ИБ — Secure Code Review.
• Консультация разработчиков.
• Контроль устранения выявленных уязвимостей.
Необходимые навыки:

• Понимание принципов работы веб-сервисов.
• Знание векторов атак на интернет-сервисы — client-side и server-side.
• Понимание причин возникновения ошибок и уязвимостей, принципов их устранения.
• Знакомство с принципами анализа защищённости веб-приложений, в том числе fuzzing (Black Box, White Box, Grey Box).
• Владение Burp Suite и другими базовыми инструментами.
• Понимание принципов безопасной разработки.
• Владение минимум одним языком программирования — в приоритете Go и PHP.
• Знание Bash, Python или других средств скриптовой автоматизации.
• Грамотное изложение своих мыслей, аргументированное отстаивание своего мнения.
• Организованность и самостоятельность при выполнении задач.


Мы предлагаем:

• Команда: работа с ведущими экспертами IT-индустрии, которые готовы делиться своим опытом.
• Масштабные проекты и интересные задачи: мы реализуем более 200 технологичных продуктов, которыми пользуется свыше 95% аудитории рунета.
• Оборудование: у нас есть специализированные гаджеты и дополнительные мониторы для комфортной работы над задачами.
• Профессиональное развитие: мы проводим митапы, конференции, семинары и тренинги для сотрудников.
• Здоровье и спорт: в офисе есть фреш-бар с овощами и фруктами, можно вступить в спортивную команду.
• Командный досуг: наши сотрудники собираются вместе и проходят мастер-классы, тимбилдинги на свежем воздухе, смотрят кино и, конечно, танцуют на VK Fest.
• Условия: ты сможешь работать очно из офиса VK в Санкт-Петербурге, Москве, Казани, Сочи, Нижнем Новгороде, Томске, Перми или Минске. У нас комфортные пространства со всем необходимым для работы и отдыха.
• Если же ты из другого города, то сможешь пройти стажировку удалённо.",2025-06-26
238,Специалист по информационной безопасности,VK: Старт карьеры,Москва,Зарплата не указана,"В рамках стажировки тебе предстоит:
Помощь в сканировании уязвимостей.
• Контроль своевременного устранения уязвимостей.
• Написание простых скриптов для автоматизации рутинных задач.
• Проверка настроек безопасности сетевых устройств, ОС, облачных сервисов.
• Участие в аудите доступа (IAM, RBAC).
Необходимые навыки:


• Обучение по направлениям кибербезопасность, информационная безопасность, прикладная информатика, компьютерные науки.
• Аналитическое мышление и внимание к деталям.
• Готовность к рутинным задачам.
• Понимание основ информационной безопасности (киберугрозы, атаки, защитные механизмы).
• Знание базовых концепций сетевой безопасности (VPN, Firewall, IDS/IPS, DDoS).
• Основы криптографии (шифрование, хеширование, SSL/TLS).
• Базовое понимание операционных систем (Linux, Windows) и сетей (TCP/IP, DNS, HTTP/HTTPS).
• Базовые навыки программирования/скриптинга (Python, Bash, PowerShell).


Мы предлагаем:


• Команда: ведущие эксперты индустрии, готовые делиться своим опытом.
• Проекты и задачи: мы реализуем более 200 технологических продуктов, которыми пользуется свыше 95% аудитории рунета.
• Оборудование: у нас есть специализированные гаджеты и дополнительные мониторы для комфортной работы.
• Профессиональное развитие: проводим митапы, конференции, семинары и тренинги для сотрудников.
• Здоровье и спорт: в офисе есть фреш-бар с овощами и фруктами, спортивный зал с тренажёрами. А ещё мы компенсируем затраты на питание.
• Командный досуг: вместе проходим мастер-классы и тимбилдинги на свежем воздухе, смотрим кино и, конечно, танцуем на VK Fest.
• Условия: можно ходить в офисы VK в Санкт-Петербурге, Москве, Казани, Сочи, Нижнем Новгороде, Томске, Перми или Минске. У нас комфортные пространства со всем необходимым для работы и отдыха. Жители других городов стажируются удалённо.",2025-06-26
239,Специалист по автоматизации тестирования,VK: Старт карьеры,Москва,Зарплата не указана,"В рамках стажировки тебе предстоит:

• Разработка и поддержка GUI-автотестов для нашего приложения.
• Поддержка работоспособности тестового окружения.
• Участие в коммуникации команды (обсуждение задач, code review) и коммуникации с другими отделами.
Необходимые навыки:

• Уверенное знание Python (учебные или пет-проекты, участие в хакатонах, стажировках или open-source).
• Знание основы Pytest (или готовы быстро освоить).
• Знание основ процесса тестирования ПО.
• Опыт работы с GIT, виртуальными окружениями и CLI.
• Внимательность к деталям.
Мы предлагаем:

• Команда: работа с ведущими экспертами IT-индустрии, которые готовы делиться своим опытом.
• Масштабные проекты и интересные задачи: мы реализуем более 200 технологичных продуктов, которыми пользуется свыше 95% аудитории рунета.
• Оборудование: у нас есть специализированные гаджеты и дополнительные мониторы для комфортной работы над задачами.
• Профессиональное развитие: мы проводим митапы, конференции, семинары и тренинги для сотрудников.
• Здоровье и спорт: в офисе есть фреш-бар с овощами и фруктами, можно вступить в спортивную команду.
• Командный досуг: наши сотрудники собираются вместе и проходят мастер-классы, тимбилдинги на свежем воздухе, смотрят кино и, конечно, танцуют на VK Fest.
• Условия: ты сможешь работать очно из офиса VK в Санкт-Петербурге, Москве, Казани, Сочи, Нижнем Новгороде, Томске, Перми или Минске. У нас комфортные пространства со всем необходимым для работы и отдыха. Если же ты из другого города, то сможешь пройти стажировку удалённо.",2025-06-26
240,Стажер Security Engineering,Яндекс: Старт карьеры,Москва,Зарплата не указана,"В рамках стажировки тебе предстоит:


• Ревью сервисов на безопасность
• Участие в архитектурных ревью
• Security code review сервисов
• Разработка отдельных сервисов безопасности: прокси-сервиса или бастиона для Yandex Cloud Managed Database, инструмента для построения политик доступа Istio по собранному трафику кластера Kubernetes
• Инфраструктурная безопасность: hardening CI, сервисов

Необходимые навыки:


• Знать OWASP Top-10 и основные атаки
• Понимать основные сетевые протоколы
• Иметь опыт администрирования Linux-серверов и программирования на Python или Go
• Знать методы устранения основных уязвимостей и основы криптографии
• Уметь искать уязвимости в коде и предлагать исправления
• Хотеть работать и развиваться в области информационной безопасности
• Ранее участвовать в соревнованиях CTF и программах Bug Bounty

Мы предлагаем:
• оплачиваемая стажировка
• Доступ к корпоративным фичам
• Компенсация обедов
• Оплата проезда и проживания в Москве
• Официальное оформление на стажировку или практику от вуза
• Гибкий и гибридный график: 20, 30 или 40 часов в неделю",2025-06-26
241,Стажер / Технический менеджер,Яндекс: Старт карьеры,Москва,Зарплата не указана,"В рамках стажировки тебе предстоит:

• Анализируют большие массивы данных, выявляют в них закономерности и учатся делать выводы
• Разрабатывают и защищают гипотезы, запускают А/В-тесты и готовят эксперименты
• Готовят, тестируют, поддерживают процессы, анализируют их функциональность и изучают поведение пользователей
• Рассчитывают ключевые метрики работы проекта и оценивают их значимость
• Выстраивают коммуникацию с заказчиками и презентуют проекты
Необходимые навыки:


• Программировать на Python, Java или Groovy
• Писать аналитические скрипты и SQL-запросы
• Работать в условиях меняющихся требований с быстроразвивающимися сервисами
Мы предлагаем:


• Оплачиваемая стажировка
• Доступ к корпоративным фичам
• Компенсация обедов
• Оплата проезда и проживания в Москве
• Официальное оформление на стажировку или практику от вуза
• Гибкий и гибридный график: 20, 30 или 40 часов в неделю",2025-06-26
242,Стажер в команду продуктовой аналитики продавцов,OZON: Старт карьеры,Москва,Зарплата не указана,"В рамках стажировки тебе предстоит:


• Тебе предстоит анализировать путь клиента, 
• искать новые точки роста для продукта и помогать бизнесу принимать верные решения, основываясь на данных.


Необходимые навыки:

• Базовое знание SQL (select, join, where, having, group by). Знание продвинутых методов будет плюсом
• Базовое знание Python, Pandas и визуализации данных. Знание продвинутых методов и библиотек будет плюсом
• Базовое знание статистики (распределение, метрики). Знание эконометрики, способов проведение АБ тестов будет плюсом
• Что ты не боишься предлагать свои решения, обосновывать, зачем оно надо на цифрах.
• Готовность работать 40 часов в неделю, в офисном графике 5/2
• Огонь в глазах, когда речь заходит про данные",2025-06-26
243,Стажер в группу инфраструктурной безопасности,OZON: Старт карьеры,Москва,Зарплата не указана,"В рамках стажировки тебе предстоит:

• Проводить сканирования для поиска уязвимостей инфраструктуры
• Проводить инвентаризации для выявления нарушений политик ИБ и автоматизировать данные действия
• Сопровождать и улучшать используемое антивирусное решение;
• Участвовать в жизни дежурной смены
• Многое другое связанное с сопровождением и внедрением систем информационной безопасности
Необходимые навыки:
• Желание развиваться в области инфраструктурной безопасности
• Базовые навыки работы со сканерами уязвимостей
• Базовые навыки работы с антивирусным программным обеспечением
• Базовые знания по администрированию ОС Linux и Windows
• Базовые навыки написания скриптов на bash | posh | python | etc - будет плюсом


Мы предлагаем:

• Оплачиваемая стажировка
• Официальное оформление (срочный трудовой договор на 6 месяцев)
• Возможность обучиться перспективной профессии на реальных задачах
• Профессиональную команду, которой мы гордимся
• Перспектива перехода в штат компании по окончанию срока стажировки
• Свободная атмосфера — без лишней бюрократии, дресс-кода и вот этого всего
• Сложные B2B- и B2C-сервисы с миллионами пользователей
• Ценные знания. У руководителей наших команд огромный опыт в банкинге и IT
• Много возможностей для развития и карьерного роста. Приветствуем участие в конференциях и повышение квалификации, даем доступ к одной из крупнейших онлайн-библиотек",2025-06-26
244,Стажер / Портфельный риск-менеджер,OZON: Старт карьеры,Москва,Зарплата не указана,"Стажер (портфельный риск-менеджмент)
 В рамках стажировки тебе предстоит:


• Участвовать в управлении стратегии принятия решения по классическим беззалоговым кредитным b2b продуктам
• Проводить аналитические исследования для оптимизации риск-стратегии
• Участвовать в мониторинге и факторном анализе изменений по основным показателям
• Разрабатывать требования к отчетности
• Взаимодействие с финансами и бизнесом в части согласования изменений условий кредитования по продукту (лимиты, срок, COR и т.п)
• Взаимодействие с командой риск-аналитиков в части постановки задач на разработку новых исследований и A/B тестов, приемки и мониторинга результатов
Необходимые навыки:


• Высшее техническое или профильное образование — можно неоконченное
• Знание SQL и Python на уровне базового синтаксиса
• Знание математической статистики
• Критическое мышление и умение аргументированно отстаивать свою точку зрения
• Будет плюсом знание теории АБ тестирования и ML",2025-06-26
245,Специалист по цифровизации и автоматизации процессов анализа данных,Газпромбанк: Старт карьеры,Москва,Зарплата не указана,"Твоими задачами будут:
 доработка единого справочника контрагентов автоматизированной системы консолидации отчетности (АСКО)
 участие в задачах автоматизации сбора и подготовки финансовой отчетности банка в системе АСКО
 участие в проекте импортозамещения Oracle DB и модуля консолидации финансовых данных Oracle Hyperion Financial Management
 согласование требований с бизнес-заказчиком и визуализация данных
 анализ данных единого корпоративного хранилища данных (КХД)
Круто, если ты:
 знаешь язык программирования SQL
 умеешь разбираться в чужом коде
 обладаешь развитыми коммуникативными способностями
Будет плюсом:
 умение работать с системами управления базами данных (Oracle DB, PostgreSQL)
 знание линейки продуктов Oracle EPM (Hyperion Planning, Oracle HFM)
 навыки работы с визуализацией данных в Python
 знание принципов построения МСФО и РСБУ отчетности
Формат работы:
 гибрид/удаленный, Москва",2025-06-26
246,Teamlead Helpdesk / Руководитель группы технической поддержки,ВЭББАНКИР,Москва,Зарплата не указана,"Чем тебе предстоит заниматься в нашей команде:
• Организация работы HelpDesk для 600 пользователей в 5 офисах;
• Управление всеми процессами внутренней техподдержки в стиле ITIL/ITSM;
• Развитие экосистемы поддержки: Help Desk, мониторинг, база знаний;
• Разработка автоматизации и групповых политик;
• Работа на стратегическом уровне: бюджетирование, защита бюджетов, управление мотивацией сотрудников;
• Наставничество: обучение команды, ее развитие, работа с эскалациями;
Ты нам подходишь, если у тебя есть опыт:
• Не менее 3-х лет в должности руководителя отдела HelpDesk или руководителя группы поддержки 2-ой линии;
• Глубокое знание ITIL/ITSM;
• Опыт администрирования систем на базе операционных систем Windows и Linux, Active Directory, MS Exchange;
• Знаешь как работает IPSec в частности и хорошее знание сетей в общем;
• Умеешь писать скрипты (bash, python или golang например);
• Опыт построения системных решений, будь то программный продукт или бизнес-процесс;
• Опыт стратегического планирования: формирование бюджета, защита бюджета перед бизнесом;
• Опыт написания технической документации;
• Опыт работы в команде. Да, в душе ты герой, темный рыцарь Готема, но при этом помнишь, что слаженная командная работа - залог успеха;
+ в карму:
• Знание DevOps-практик и технологий;
• Опыт работы с облачными платформами;
• Бэкграунд в области системного администрирования в позиции ведущего;
• Работа с различными трекерами задач аля JIRA
• Есть опыт проведения переговоров или публичных выступлений
От нас:
• Официальное трудоустройство, социальные гарантии, оплачиваемые переработки (достаточно редкие надо отметить)
• Гибридный формат работы
• Команда экспертов, которая поможет/подскажет/научит и подставит плечо, когда потребуется
• Возможность решать интересные задачи, качать скиллы и развиваться на базе современных технологий
• Мы - официальная ИТ компания, ты сам знаешь, что это означает",2025-06-26
247,Старший аналитик данных / Разработчик SQL,Социальный фонд России,Москва,от 150000 rub,"Формат работы: очный (работник находится в офисе) 
Опыт работы: 3–6 лет
Полная занятость
График: 5/2
Рабочие часы: 8
Обязанности:
• формирование SQL запросов к базам данных (уверенное знание postgresql, или IBM DB2, или MS SQL Server, использование оконных функций, ветвлений, циклов, триггеров, процедур и т. д.).
• написание утилит обработки данных в формате xml, csv на python
• оптимизация sql-запросов
Требования:
• знание реляционных баз данных, навыки и опыт работы с SQL;
• базовые знания матстатистики
• умение читать сложную документацию и самостоятельно осваивать новые предметные области
• понимание и умение работать с форматами xml, csv. Опционально – умение работать с форматом json.
• базовые навыки работы с MS Excel
• аккуратность, внимательность, логическое мышление, аналитические способности, исполнительность
Условия:
• место работы в Москве. Удаленного формата работы НЕТ. 
• стабильная зарплата (2 раза в месяц) + бонусы;
• оформление, отпуск, больничный и пр. - по ТК РФ;
• возможность быстрого профессионального и карьерного роста;
• отличная материальная база для профессионального развития;
• возможность обучения за счет работодателя;
• дополнительный ежегодный отпуск от 8 до 10 календарных дней в зависимости от должности;
Ключевые навыки
• SQL
• PostgreSQL
• DB2
• XML
• JSON
• Piton
• Базы данных",2025-06-26
248,Стажер по программной инженерии,Google,Москва,Зарплата не указана,"В качестве стажера по программной инженерии вы будете работать над нашими основными продуктами и услугами, а также над теми, которые поддерживают критически важные функции наших инженерных операций. Вы будете разрабатывать и представлять идеи, стремясь к пониманию наших продуктов, чтобы постоянно их улучшать. Google есть и всегда будет инженерной компанией. Мы нанимаем людей с широким набором технических навыков, которые готовы решать некоторые из самых сложных технологических задач и оказывать влияние на миллионы, если не миллиарды, пользователей. 
Обязанности:
• Исследовать, создавать и разрабатывать программные приложения для расширения и улучшения продуктового предложения Google
• Участвовать в самых разных проектах, использующих обработку естественного языка, искусственный интеллект, сжатие данных, машинное обучение и технологии поиска
• Сотрудничать по вопросам масштабируемости, связанным с доступом к огромным объемам данных и информации
• Работать в продуктивной и инновационной команде с коллегами, менеджерами и кросс-функциональными командами и поддерживать ее

Требования:
• Студент бакалавриата или магистратуры в области компьютерных наук или смежной технической области
• Опыт работы с одним или несколькими языками программирования общего назначения (например, Java, C/C++, Python, JavaScript, Go и т. д.).Знание Unix/Linux и API
• Знание английского языка

Условия:
• Начало летом 2025
• Дедлайн подачи документов 17.04.2025",2025-06-26
249,Стажер по направлению VaR-Калькулятор,Сбер: Старт карьеры,Москва,до 71800 rub,"Оплачиваемая стажировка по направлению «VaR-Калькулятор» от Сбера!
Помогай проводить исследовательские работы на финансовых рынках и строить модели различных рыночных метрик.
 В рамках стажировки тебе предстоит:
• проводить стохастическое и AI моделирование финансовых рынков;
• заниматься построением моделей стоимости производных финансовых инструментов;
• разрабатывать и имплементировать модели расчета метрик рыночного риска;
• заниматься аналитической поддержкой потребителей моделей рисков;
• предоставлять рекомендации по оптимизации и снижению риска;
• проводить ad-hoc анализ по запросам риск-менеджеров.
 Необходимые навыки:
• уверенное владение теорией вероятностей, статистикой, стохастическими дифференциальными уравнениями;
• умение реализовывать математические модели на языке программирования (Python, C++, C# и т.д.);
• владение английским языком на уровне чтения книг и статей по профессиональной тематике;
• интерес к исследовательской работе на финансовых рынках;
• образование в области точных наук: математика, физика, финансовая математика, численные методы и др.
• Твоим преимуществом будут знания в области Machine Learning, опыт построения финансовых моделей с фокусом на стохастическое исчисление, опыт управления рыночным и/или кредитным риском, наличие профильных сертификатов и пройденных курсов в направлении quantitative finance, risk management (WQU, CQF, FRM, PRM и т.д.).
 Мы предлагаем:
• стажировка от 3 до 6 месяцев с возможностью перехода в штат;
• гибкий график и возможность совмещать с учебой: от 20 до 40 часов в неделю;
• зарплата пропорционально количеству часов (71 800 рублей в месяц при работе 40 часов в неделю);
• возможность пройти обучение по интересующим тебя направлениям soft и hard skills в виртуальной школе Сбера и на специальных тренингах;
• лучшие стажеры могут получить оффер и начать строить успешную карьеру.
• Мы ждем именно тебя!",2025-06-26
250,Devops-разработчик (стажер),Яндекс: Старт карьеры,Санкт-Петербург,Зарплата не указана,"В рамках стажировки тебе предстоит:

• Обеспечивают стабильную работу хранилища и улучшают его отказоустойчивость
• Развивают систему оркестрации и управления «железом»
• Улучшают инфраструктуру нагрузочного тестирования YDB
• Мигрируют YDB в Kubernetes


Необходимые навыки:


• Опыт работы с Linux
• Программировать на языках: Python, Go, Bash
• На базовом уровне понимать работу веб-сервисов и протоколов TCP/IP, HTTP
• Работать с системами управления конфигурациями
• Понимать принципы работы сети и уметь диагностировать сетевые проблемы
• Знать основные принципы контейнеризации и виртуализации
Мы предлагаем:


• Официальное оформление на стажировку в Яндексе; возможность оформить практику от вуза
• Гибридный и гибкий график: 20, 30 или 40 часов в неделю
• Стажировка оплачиваемая
• Компенсация обедов
• Доступ к внутренним ресурсам и возможностям Яндекса
• Оплата проезда и проживание в Москве на период стажировки для иногородних стажёров",2025-06-26
